Date,Summary,Precip Type,Temperature(°C),Apparent Temperature(°C),Humidity,Wind Speed(km/h),Wind Bearing(degrees),Visibility(km),Loud Cover,Pressure(millibars),Daily Summary
2011-08-14,Mostly Cloudy,rain,19.35,19.35,0.81,6.3756,338,15.8263,0,1011.72,Partly cloudy until night.
2011-08-15,Mostly Cloudy,rain,17.22222222,17.22222222,0.93,3.1878,178,14.9086,0,1011.89,Partly cloudy overnight.
2011-08-16,Partly Cloudy,rain,18.07777778,18.07777778,0.89,12.3648,326,15.8263,0,1013.44,Partly cloudy until night.
2011-08-17,Partly Cloudy,rain,18.68888889,18.68888889,0.76,6.2951,300,15.8263,0,1016.96,Partly cloudy starting in the morning continuing until evening.
2011-08-18,Clear,rain,20.21111111,20.21111111,0.7,6.44,80,15.8263,0,1017.83,Partly cloudy in the afternoon.
2011-08-19,Clear,rain,17.87222222,17.87222222,0.81,3.22,109,15.8263,0,1018.48,Partly cloudy starting in the afternoon.
2011-08-02,Partly Cloudy,rain,17.66666667,17.66666667,0.9,6.4239,329,14.9086,0,1014.63,Partly cloudy until night.
2011-08-20,Mostly Cloudy,rain,23.71111111,23.71111111,0.65,6.44,290,15.8263,0,1017.03,Partly cloudy until evening.
2011-08-21,Clear,rain,14.02777778,14.02777778,0.89,3.3649,311,15.8263,0,1021.12,Partly cloudy starting in the afternoon continuing until evening.
2011-08-22,Clear,rain,14.53888889,14.53888889,0.87,0.0,0,15.8263,0,1020.4,Partly cloudy starting overnight continuing until morning.
2011-08-23,Clear,rain,18.42777778,18.42777778,0.81,0.0,0,15.8263,0,1019.0,Clear throughout the day.
2011-08-24,Clear,rain,25.1,25.1,0.62,6.1663,101,15.8263,0,1016.81,Clear throughout the day.
2011-08-25,Clear,rain,24.73333333,24.73333333,0.61,11.0446,100,15.8263,0,1013.82,Partly cloudy starting in the morning continuing until evening.
2011-08-26,Clear,rain,23.15555556,23.15555556,0.72,0.0,0,9.982,0,1014.4,Partly cloudy starting in the afternoon continuing until evening.
2011-08-27,Clear,rain,25.51111111,25.51111111,0.49,20.2377,160,15.8263,0,1014.65,Breezy in the morning and partly cloudy starting in the evening continuing until night.
2011-08-28,Partly Cloudy,rain,23.16111111,23.16111111,0.42,12.6385,182,15.8263,0,1013.8,Partly cloudy until night.
2011-08-29,Partly Cloudy,rain,16.65555556,16.65555556,0.78,3.2361,345,15.8263,0,1017.42,Partly cloudy overnight.
2011-08-03,Clear,rain,16.20555556,16.20555556,0.97,6.44,260,9.982,0,1017.99,Foggy starting overnight continuing until morning.
2011-08-30,Mostly Cloudy,rain,16.65555556,16.65555556,0.81,3.3649,351,15.8263,0,1012.33,Partly cloudy until evening.
2011-08-31,Partly Cloudy,rain,18.47222222,18.47222222,0.64,6.9391,338,15.8263,0,1011.15,Partly cloudy until evening.
2011-08-04,Mostly Cloudy,rain,17.78333333,17.78333333,0.93,3.2039,91,15.8263,0,1016.48,Mostly cloudy throughout the day.
2011-08-05,Mostly Cloudy,rain,19.90555556,19.90555556,0.77,6.3756,28,15.8263,0,1014.74,Partly cloudy throughout the day.
2011-08-06,Partly Cloudy,rain,18.23888889,18.23888889,0.97,6.44,160,9.982,0,1015.48,Partly cloudy starting in the morning.
2011-08-07,Clear,rain,21.16111111,21.16111111,0.79,11.0768,160,15.8263,0,1011.55,Partly cloudy starting overnight continuing until night.
2011-08-08,Mostly Cloudy,rain,24.77222222,24.77222222,0.68,16.6635,172,15.8263,0,1009.37,Partly cloudy overnight.
2011-08-09,Partly Cloudy,rain,17.73333333,17.73333333,0.96,11.3666,319,6.2951,0,1010.69,Mostly cloudy throughout the day.
2011-12-01,Foggy,snow,-1.572222222,-1.572222222,0.96,3.1878,318,2.8175,0,1032.08,Foggy starting in the afternoon.
2011-12-10,Overcast,rain,5.138888889,2.627777778,0.78,11.0124,162,15.8263,0,1018.18,Mostly cloudy throughout the day.
2011-12-11,Partly Cloudy,rain,6.044444444,6.044444444,0.81,3.2683,28,4.7495,0,1017.73,Mostly cloudy throughout the day.
2011-12-12,Partly Cloudy,rain,3.355555556,3.355555556,0.79,3.1717,81,14.9569,0,1022.26,Mostly cloudy throughout the day.
2011-12-13,Mostly Cloudy,rain,8.261111111,5.966666667,0.87,13.685,160,15.5365,0,1013.64,Foggy starting in the evening.
2011-12-14,Foggy,rain,3.311111111,0.422222222,0.96,11.0446,189,0.6279,0,1018.45,Foggy starting overnight continuing until evening.
2011-12-15,Mostly Cloudy,rain,7.155555556,6.077777778,0.89,6.4722,188,6.1985,0,1016.43,Foggy starting in the afternoon.
2011-12-16,Foggy,rain,6.038888889,2.755555556,0.96,17.1143,300,1.5456,0,1010.44,Mostly cloudy throughout the day and breezy starting in the evening.
2011-12-17,Breezy and Overcast,rain,8.333333333,4.305555556,0.8,31.4594,160,10.0464,0,991.95,Mostly cloudy throughout the day and breezy starting overnight continuing until morning.
2011-12-18,Partly Cloudy,rain,1.116666667,-2.905555556,0.82,14.3612,261,15.8263,0,1004.49,Partly cloudy starting in the morning.
2011-12-19,Partly Cloudy,rain,0.316666667,-3.733333333,0.86,13.6045,109,15.8263,0,1017.88,Foggy starting in the afternoon continuing until evening.
2011-12-02,Foggy,snow,-2.755555556,-5.394444444,0.93,6.5205,160,0.322,0,1028.44,Foggy throughout the day.
2011-12-20,Overcast,snow,0.0,-4.161111111,0.96,13.7655,19,3.5259,0,1014.46,Mostly cloudy starting overnight continuing until night.
2011-12-21,Clear,snow,-4.872222222,-4.872222222,0.88,3.3649,279,14.6832,0,1014.23,Mostly cloudy starting in the morning.
2011-12-22,Overcast,snow,-0.511111111,-0.511111111,0.85,3.2522,218,10.0464,0,1017.57,Overcast throughout the day.
2011-12-23,Overcast,snow,-0.188888889,-2.333333333,0.89,6.279,329,9.5795,0,1025.01,Foggy in the morning.
2011-12-24,Overcast,snow,-1.711111111,-6.266666667,0.89,13.8138,170,6.8264,0,1024.13,Mostly cloudy throughout the day.
2011-12-25,Overcast,rain,0.494444444,-1.616666667,0.89,6.4561,252,4.5241,0,1024.29,Mostly cloudy starting overnight.
2011-12-26,Clear,snow,-0.905555556,-3.227777778,0.89,6.44,290,15.5043,0,1036.4,Foggy starting in the afternoon continuing until evening.
2011-12-27,Foggy,rain,0.622222222,-1.444444444,0.92,6.4078,171,2.6404,0,1040.95,Foggy starting overnight continuing until morning.
2011-12-28,Overcast,rain,2.777777778,2.777777778,0.89,3.059,192,9.6761,0,1037.28,Foggy starting overnight continuing until morning.
2011-12-29,Overcast,rain,2.244444444,-0.722222222,0.92,10.465,161,4.669,0,1029.18,Foggy in the morning.
2011-12-03,Foggy,snow,-0.072222222,-3.616666667,0.96,10.9319,330,1.2558,0,1021.28,Foggy until morning.
2011-12-30,Overcast,rain,1.644444444,-1.616666667,0.89,11.2217,270,4.9427,0,1019.5,Foggy in the morning.
2011-12-31,Mostly Cloudy,rain,0.555555556,-1.666666667,0.92,6.7942,259,3.2844,0,1013.89,Partly cloudy until night.
2011-12-04,Partly Cloudy,rain,7.05,4.583333333,0.84,13.041,200,11.5759,0,1014.95,Mostly cloudy throughout the day.
2011-12-05,Mostly Cloudy,rain,6.3,4.0,0.88,11.1895,199,15.8263,0,1009.48,Overcast throughout the day.
2011-12-06,Overcast,rain,6.016666667,2.361111111,0.68,20.0606,310,15.8263,0,1011.83,Foggy overnight.
2011-12-07,Foggy,snow,-1.155555556,-1.155555556,0.96,3.3488,147,0.7567,0,1015.36,Foggy starting overnight continuing until morning.
2011-12-08,Overcast,rain,2.872222222,0.844444444,0.89,7.3577,244,7.2772,0,1011.81,Partly cloudy starting overnight continuing until evening and breezy starting in the morning continuing until afternoon.
2011-12-09,Partly Cloudy,rain,1.044444444,-2.822222222,0.78,13.4757,269,15.8263,0,1025.99,Mostly cloudy until night.
2011-02-01,Overcast,snow,-4.444444444,-4.444444444,0.96,3.22,300,3.6064,0,1030.1,Foggy in the morning.
2011-02-10,Clear,snow,-0.638888889,-0.638888889,0.88,3.3005,293,14.9086,0,1024.81,Foggy starting in the morning continuing until night.
2011-02-11,Foggy,snow,-3.4,-5.983333333,1.0,6.1502,141,0.2898,0,1023.26,Foggy starting overnight continuing until morning.
2011-02-12,Overcast,rain,4.722222222,2.127777778,0.87,11.0285,203,6.2951,0,1010.86,Mostly cloudy until evening and breezy starting in the morning continuing until afternoon.
2011-02-13,Partly Cloudy,snow,-4.005555556,-4.005555556,0.95,3.0268,193,15.8263,0,1022.1,Mostly cloudy throughout the day.
2011-02-14,Overcast,rain,0.488888889,-1.555555556,0.73,6.279,70,15.8263,0,1017.43,Mostly cloudy throughout the day.
2011-02-15,Mostly Cloudy,snow,-0.627777778,-4.961111111,0.69,13.9426,32,15.8263,0,1015.54,Mostly cloudy throughout the day.
2011-02-16,Overcast,rain,0.555555556,-4.466666667,0.85,19.6581,129,10.0464,0,1011.95,Mostly cloudy throughout the day.
2011-02-17,Overcast,rain,1.116666667,-4.711111111,0.76,27.2895,139,14.9086,0,1009.18,Mostly cloudy throughout the day.
2011-02-18,Partly Cloudy,rain,1.066666667,-2.172222222,0.92,10.6099,139,5.8926,0,1011.32,Mostly cloudy throughout the day.
2011-02-19,Overcast,rain,4.927777778,2.422222222,0.89,10.8031,350,7.9051,0,1011.55,Foggy in the evening.
2011-02-02,Overcast,snow,-6.622222222,-9.827777778,0.99,6.44,310,4.025,0,1029.41,Overcast throughout the day.
2011-02-20,Overcast,rain,3.261111111,-0.65,0.85,16.7279,38,6.0214,0,1013.77,Foggy in the morning.
2011-02-21,Mostly Cloudy,rain,1.6,-1.611111111,0.89,10.948,119,6.0214,0,1016.21,Foggy starting overnight continuing until morning.
2011-02-22,Mostly Cloudy,snow,-2.338888889,-7.65,0.79,16.9211,29,8.1305,0,1016.25,Mostly cloudy throughout the day.
2011-02-23,Overcast,snow,-2.266666667,-6.205555556,0.92,10.7387,320,5.9731,0,1018.73,Foggy in the morning.
2011-02-24,Foggy,snow,-2.894444444,-7.755555556,0.84,14.0231,320,3.1395,0,1025.86,Foggy throughout the day.
2011-02-25,Foggy,snow,-3.377777778,-7.544444444,0.96,10.7548,319,1.5295,0,1027.74,Foggy until afternoon.
2011-02-26,Overcast,snow,-3.311111111,-7.494444444,0.95,10.8675,20,3.6064,0,1028.95,Foggy starting in the evening.
2011-02-27,Foggy,snow,-7.611111111,-7.611111111,0.99,3.0912,142,1.0143,0,1022.56,Foggy until morning.
2011-02-28,Foggy,snow,-9.0,-9.0,0.92,3.22,220,0.2737,0,1023.28,Foggy starting overnight continuing until morning.
2011-02-03,Overcast,snow,-4.594444444,-7.422222222,0.89,6.2951,180,5.9731,0,1031.18,Foggy in the morning.
2011-02-04,Overcast,snow,-2.755555556,-5.3,0.88,6.2951,220,4.991,0,1030.78,Foggy starting in the evening.
2011-02-05,Foggy,snow,-2.683333333,-7.483333333,0.96,13.9587,161,2.0125,0,1029.44,Foggy until morning.
2011-02-06,Foggy,snow,-1.522222222,-3.85,0.99,6.2307,174,2.1574,0,1025.38,Foggy starting overnight continuing until morning.
2011-02-07,Clear,rain,0.661111111,-1.327777778,0.89,6.1985,218,15.134,0,1026.37,Foggy starting in the evening.
2011-02-08,Foggy,snow,-1.622222222,-3.822222222,1.0,5.8765,209,1.0465,0,1022.37,Foggy starting overnight continuing until morning.
2011-02-09,Clear,rain,3.955555556,0.144444444,0.85,17.2109,319,14.9086,0,1022.56,Partly cloudy starting in the morning continuing until evening.
2011-01-01,Overcast,snow,-7.105555556,-7.105555556,0.96,3.2039,249,3.4132,0,1025.47,Foggy starting overnight.
2011-01-10,Partly Cloudy,rain,4.011111111,2.455555556,0.96,6.4239,160,9.8049,0,1020.63,Mostly cloudy starting in the morning.
2011-01-11,Foggy,rain,1.716666667,-1.466666667,1.0,10.9158,21,0.161,0,1021.78,Foggy starting overnight continuing until morning.
2011-01-12,Mostly Cloudy,rain,4.422222222,0.694444444,0.9,17.388,159,15.5526,0,1015.08,Mostly cloudy throughout the day.
2011-01-13,Partly Cloudy,rain,0.566666667,0.566666667,1.0,3.4776,225,3.6064,0,1021.52,Foggy in the morning.
2011-01-14,Foggy,rain,4.466666667,4.466666667,1.0,3.3649,269,3.059,0,1016.2,Foggy starting overnight continuing until morning.
2011-01-15,Partly Cloudy,rain,4.544444444,3.183333333,0.96,6.0858,242,9.982,0,1017.77,Partly cloudy throughout the day and breezy in the evening.
2011-01-16,Partly Cloudy,rain,6.666666667,2.672222222,0.79,24.9711,300,15.8263,0,1025.77,Partly cloudy starting overnight continuing until evening.
2011-01-17,Foggy,rain,2.105555556,0.355555556,1.0,6.1502,160,1.5134,0,1030.37,Foggy until morning.
2011-01-18,Partly Cloudy,rain,1.183333333,1.183333333,1.0,3.2039,21,4.3148,0,1026.11,Foggy starting overnight continuing until evening.
2011-01-19,Overcast,rain,3.183333333,3.183333333,1.0,3.22,230,3.9123,0,1025.52,Foggy in the morning.
2011-01-02,Foggy,snow,-5.366666667,-8.277777778,0.96,6.2146,222,0.161,0,1017.91,Foggy throughout the day.
2011-01-20,Foggy,rain,3.266666667,1.638888889,1.0,6.2951,320,3.0751,0,1020.21,Overcast throughout the day.
2011-01-21,Overcast,rain,1.577777778,-2.238888889,0.92,13.8299,10,6.3434,0,1021.98,Overcast throughout the day.
2011-01-22,Overcast,rain,0.555555556,-5.127777778,0.78,24.6169,19,9.982,0,1025.21,Mostly cloudy throughout the day.
2011-01-23,Overcast,snow,-1.205555556,-6.755555556,0.85,20.0767,10,11.9784,0,1021.84,Partly cloudy throughout the day.
2011-01-24,Overcast,snow,-1.572222222,-3.933333333,0.96,6.2951,243,3.4293,0,1018.12,Foggy overnight.
2011-01-25,Partly Cloudy,snow,-7.611111111,-10.97222222,0.99,6.44,210,4.025,0,1020.73,Foggy starting overnight continuing until morning.
2011-01-26,Overcast,snow,-5.305555556,-10.71666667,0.95,14.0553,142,4.0733,0,1014.81,Foggy in the morning.
2011-01-27,Overcast,snow,-2.688888889,-2.688888889,0.93,3.22,30,3.9123,0,1014.5,Foggy starting overnight continuing until morning.
2011-01-28,Overcast,snow,-1.927777778,-5.794444444,0.93,10.7226,2,5.8765,0,1022.58,Foggy starting in the evening.
2011-01-29,Foggy,snow,-6.183333333,-9.322222222,1.0,6.44,0,0.4347,0,1027.71,Foggy until afternoon.
2011-01-03,Foggy,snow,-5.483333333,-5.483333333,0.96,3.22,310,0.9338,0,1020.32,Foggy starting overnight continuing until afternoon.
2011-01-30,Foggy,snow,-7.638888889,-7.638888889,0.96,3.0751,50,0.161,0,1025.48,Foggy throughout the day.
2011-01-31,Foggy,snow,-5.422222222,-5.422222222,0.96,3.1717,8,0.8372,0,1024.88,Foggy starting overnight continuing until evening.
2011-01-04,Overcast,snow,-3.4,-3.4,0.96,1.5295,170,5.8926,0,1025.32,Overcast throughout the day.
2011-01-05,Overcast,snow,-4.488888889,-4.488888889,0.84,3.3005,156,11.8979,0,1026.91,Foggy starting in the evening.
2011-01-06,Foggy,snow,-7.638888889,-10.93333333,0.96,6.2951,131,0.7084,0,1025.19,Foggy starting overnight continuing until morning.
2011-01-07,Overcast,rain,1.111111111,-4.433333333,0.85,24.7618,150,15.7297,0,1021.02,Mostly cloudy throughout the day.
2011-01-08,Overcast,rain,2.266666667,-0.788888889,0.92,10.8675,150,9.7566,0,1022.83,Mostly cloudy starting overnight.
2011-01-09,Mostly Cloudy,rain,7.061111111,5.027777778,0.89,10.5455,211,14.6832,0,1020.32,Partly cloudy starting in the morning.
2011-07-01,Mostly Cloudy,rain,17.71111111,17.71111111,0.93,21.0105,292,14.9086,0,1009.98,Mostly cloudy throughout the day.
2011-07-10,Clear,rain,21.20555556,21.20555556,0.83,3.1556,158,9.982,0,1016.58,Partly cloudy starting in the morning continuing until night.
2011-07-11,Partly Cloudy,rain,21.64444444,21.64444444,0.81,5.9248,128,15.8263,0,1013.65,Partly cloudy until night.
2011-07-12,Partly Cloudy,rain,21.11111111,21.11111111,0.75,5.957,304,15.8263,0,1016.21,Partly cloudy until evening.
2011-07-13,Clear,rain,22.52777778,22.52777778,0.67,6.44,100,9.982,0,1014.9,Partly cloudy starting in the morning.
2011-07-14,Partly Cloudy,rain,24.19444444,24.19444444,0.61,10.948,100,15.8263,0,1011.67,Partly cloudy until night.
2011-07-15,Partly Cloudy,rain,25.6,25.6,0.57,13.7816,121,15.8263,0,1011.85,Partly cloudy until morning.
2011-07-16,Mostly Cloudy,rain,19.42222222,19.42222222,0.69,14.2968,300,15.8746,0,1014.86,Partly cloudy throughout the day.
2011-07-17,Partly Cloudy,rain,15.55555556,15.55555556,0.87,3.22,330,15.8263,0,1011.11,Partly cloudy until night.
2011-07-18,Clear,rain,19.04444444,19.04444444,0.83,6.2468,132,15.8263,0,1005.88,Partly cloudy starting in the morning.
2011-07-19,Mostly Cloudy,rain,23.63888889,23.63888889,0.72,10.7065,301,14.9569,0,1006.22,Partly cloudy throughout the day.
2011-07-02,Partly Cloudy,rain,13.23888889,13.23888889,0.65,17.6939,290,15.8263,0,1012.57,Partly cloudy until night.
2011-07-20,Mostly Cloudy,rain,27.34444444,27.85,0.51,15.8102,149,15.8746,0,1000.69,Mostly cloudy throughout the day.
2011-07-21,Partly Cloudy,rain,15.07222222,15.07222222,0.93,6.2951,270,15.8263,0,1002.87,Mostly cloudy throughout the day.
2011-07-22,Partly Cloudy,rain,16.03888889,16.03888889,0.76,14.7315,279,15.8263,0,1006.1,Partly cloudy throughout the day.
2011-07-23,Mostly Cloudy,rain,15.13888889,15.13888889,0.95,5.9087,296,14.9086,0,1010.13,Mostly cloudy throughout the day.
2011-07-24,Overcast,rain,17.15555556,17.15555556,0.97,3.22,60,4.025,0,1007.8,Foggy starting overnight continuing until morning.
2011-07-25,Overcast,rain,18.10555556,18.10555556,0.88,13.8299,349,15.7297,0,1005.25,Mostly cloudy throughout the day.
2011-07-26,Mostly Cloudy,rain,14.46666667,14.46666667,0.96,6.4561,268,14.812,0,1009.81,Mostly cloudy throughout the day.
2011-07-27,Overcast,rain,17.15555556,17.15555556,0.93,3.22,180,14.9086,0,1015.8,Partly cloudy throughout the day.
2011-07-28,Partly Cloudy,rain,15.57777778,15.57777778,0.96,3.22,140,15.8263,0,1017.79,Mostly cloudy starting overnight.
2011-07-29,Mostly Cloudy,rain,18.68888889,18.68888889,0.93,6.4883,343,11.9784,0,1012.07,Foggy in the morning.
2011-07-03,Clear,rain,9.611111111,9.611111111,0.99,3.1395,155,14.9086,0,1012.98,Mostly cloudy starting overnight.
2011-07-30,Overcast,rain,18.31111111,18.31111111,0.97,6.1502,337,14.7637,0,1008.67,Mostly cloudy throughout the day.
2011-07-31,Partly Cloudy,rain,16.64444444,16.64444444,0.81,6.3595,306,15.8263,0,1011.69,Partly cloudy until night.
2011-07-04,Overcast,rain,14.48888889,14.48888889,0.89,13.7011,347,14.9569,0,1009.69,Mostly cloudy until night.
2011-07-05,Partly Cloudy,rain,15.61111111,15.61111111,0.92,3.5259,188,15.8263,0,1012.19,Partly cloudy until night.
2011-07-06,Partly Cloudy,rain,13.4,13.4,0.89,6.6332,292,15.8263,0,1010.42,Partly cloudy starting in the morning continuing until night.
2011-07-07,Clear,rain,15.09444444,15.09444444,0.9,6.44,250,9.982,0,1011.07,Partly cloudy starting in the morning continuing until night.
2011-07-08,Partly Cloudy,rain,18.86666667,18.86666667,0.84,6.3112,149,9.982,0,1012.67,Partly cloudy starting in the morning continuing until night.
2011-07-09,Clear,rain,20.02777778,20.02777778,0.84,3.22,190,9.982,0,1016.0,Partly cloudy starting in the afternoon continuing until evening.
2011-06-01,Clear,rain,17.22222222,17.22222222,0.81,0.0,0,9.982,0,0.0,Partly cloudy starting overnight.
2011-06-10,Mostly Cloudy,rain,15.55555556,15.55555556,0.86,6.5849,273,15.8263,0,1009.53,Mostly cloudy throughout the day.
2011-06-11,Mostly Cloudy,rain,17.59444444,17.59444444,0.73,6.0697,321,15.8746,0,1011.15,Mostly cloudy throughout the day.
2011-06-12,Mostly Cloudy,rain,16.53333333,16.53333333,0.93,0.0,0,15.8263,0,1014.12,Mostly cloudy throughout the day.
2011-06-13,Partly Cloudy,rain,15.6,15.6,0.86,2.9946,181,15.8263,0,1014.53,Partly cloudy until night.
2011-06-14,Partly Cloudy,rain,15.52777778,15.52777778,0.87,3.22,340,15.8263,0,1014.81,Partly cloudy throughout the day.
2011-06-15,Partly Cloudy,rain,16.50555556,16.50555556,0.88,6.279,349,15.8263,0,1016.75,Partly cloudy until night.
2011-06-16,Clear,rain,15.57777778,15.57777778,0.9,6.44,280,15.8263,0,1017.81,Partly cloudy starting in the morning continuing until night.
2011-06-17,Partly Cloudy,rain,19.26111111,19.26111111,0.79,6.1985,179,15.8263,0,1015.68,Mostly cloudy until night.
2011-06-18,Partly Cloudy,rain,18.28888889,18.28888889,0.93,3.1395,198,15.8263,0,1014.18,Partly cloudy until night.
2011-06-19,Mostly Cloudy,rain,21.69444444,21.69444444,0.73,7.2611,244,15.8263,0,1008.03,Mostly cloudy until night.
2011-06-02,Partly Cloudy,rain,18.72777778,18.72777778,0.87,6.0375,211,14.9086,0,1017.11,Partly cloudy until night.
2011-06-20,Partly Cloudy,rain,12.2,12.2,0.9,11.5437,261,14.9086,0,1016.13,Partly cloudy throughout the day.
2011-06-21,Mostly Cloudy,rain,14.5,14.5,0.72,6.0858,162,15.8263,0,1018.87,Partly cloudy until night.
2011-06-22,Clear,rain,18.25,18.25,0.71,6.4078,163,15.8263,0,1019.18,Partly cloudy starting in the afternoon continuing until evening.
2011-06-23,Clear,rain,20.00555556,20.00555556,0.73,6.4883,171,9.982,0,1015.85,Partly cloudy starting overnight continuing until night.
2011-06-24,Partly Cloudy,rain,20.58333333,20.58333333,0.83,2.6082,134,15.8746,0,1012.49,Mostly cloudy throughout the day.
2011-06-25,Mostly Cloudy,rain,17.2,17.2,0.77,14.0231,291,15.8263,0,1017.35,Partly cloudy until night.
2011-06-26,Partly Cloudy,rain,12.8,12.8,0.74,6.4561,346,15.8263,0,1022.22,Partly cloudy starting in the morning continuing until night.
2011-06-27,Clear,rain,14.95,14.95,0.83,11.0768,300,15.8263,0,1021.25,Partly cloudy starting in the morning continuing until night.
2011-06-28,Mostly Cloudy,rain,16.5,16.5,0.78,6.279,294,15.8263,0,1015.99,Mostly cloudy throughout the day.
2011-06-29,Mostly Cloudy,rain,16.08888889,16.08888889,0.96,6.6332,282,9.982,0,1011.54,Mostly cloudy throughout the day.
2011-06-03,Mostly Cloudy,rain,19.4,19.4,0.9,5.6672,284,11.9784,0,1019.52,Partly cloudy throughout the day.
2011-06-30,Mostly Cloudy,rain,19.28333333,19.28333333,0.89,7.5187,313,12.2682,0,1009.4,Partly cloudy starting overnight.
2011-06-04,Mostly Cloudy,rain,21.39444444,21.39444444,0.77,14.49,30,15.8263,0,1019.96,Mostly cloudy throughout the day.
